Name,Size Using Noval Approach,Size Using JPEG-LS
752.jpg,18328,16479
753.jpg,19689,18401
754.jpg,19398,19407
755.jpg,14136,11368
756.jpg,20079,20206
757.jpg,16475,13967
758.jpg,20395,21296
759.jpg,15903,12349
760.jpg,16954,15238
761.jpg,19635,19834
762.jpg,17234,16284
763.jpg,16339,14001
764.jpg,15720,13823
765.jpg,16279,14173
766.jpg,12307,9622
767.jpg,13268,11246
768.jpg,17965,16724
769.jpg,19435,19631
770.jpg,9303,5484
771.jpg,16779,15031
772.jpg,17739,16465
773.jpg,16927,14563
774.jpg,18462,16145
775.jpg,19363,18239
776.jpg,16961,15823
777.jpg,18155,17902
778.jpg,20355,20748
779.jpg,14974,12978
780.jpg,15625,12086
781.jpg,16575,14576
782.jpg,15375,14038
783.jpg,19711,19507
784.jpg,17651,16763
785.jpg,18219,16874
786.jpg,18947,18846
787.jpg,14573,12931
788.jpg,18819,17878
789.jpg,19980,18567
790.jpg,20396,20457
791.jpg,18932,17770
792.jpg,15178,14487
793.jpg,15936,13914
794.jpg,16597,16154
795.jpg,17957,16839
796.jpg,17790,14249
797.jpg,10713,7592
798.jpg,18740,18213
799.jpg,20472,21273
800.jpg,16523,15642
801.jpg,18248,17225
802.jpg,16151,14671
803.jpg,17033,15513
804.jpg,15484,13125
805.jpg,19928,20059
806.jpg,17961,15850
807.jpg,17404,15663
808.jpg,16964,15442
809.jpg,19147,17492
810.jpg,17620,15622
811.jpg,18645,17505
812.jpg,19153,17604
813.jpg,11043,8223
814.jpg,18601,17257
815.jpg,15631,14483
816.jpg,18993,18917
817.jpg,18854,16632
818.jpg,17065,15669
819.jpg,17345,16731
820.jpg,18876,18188
821.jpg,17525,14415
822.jpg,16539,15059
823.jpg,20242,17527
824.jpg,17188,14558
825.jpg,15736,14574
826.jpg,18644,17702
827.jpg,15983,13781
828.jpg,16264,13159
829.jpg,18531,17260
830.jpg,15345,13344
831.jpg,19571,18264
832.jpg,12106,7409
833.jpg,18027,15859
834.jpg,15048,10926
835.jpg,14554,12457
836.jpg,14749,10895
837.jpg,15969,14274
838.jpg,18471,17557
839.jpg,15818,13296
840.jpg,12407,10521
841.jpg,15766,14190
842.jpg,15344,12162
843.jpg,16759,14939
844.jpg,17101,15845
845.jpg,16357,13876
846.jpg,19193,17797
847.jpg,18291,16695
848.jpg,18626,16496
849.jpg,14297,12357
850.jpg,16057,11801
851.jpg,20263,19891
852.jpg,18927,18378
853.jpg,16075,13164
854.jpg,15949,14842
855.jpg,19328,19890
856.jpg,16998,15244
857.jpg,18880,17486
858.jpg,17193,16286
859.jpg,14374,10890
860.jpg,15357,12480
861.jpg,19247,19034
862.jpg,14114,11220
863.jpg,17969,16906
864.jpg,14041,10565
865.jpg,16574,14884
866.jpg,17422,15211
867.jpg,19537,18761
868.jpg,16692,14727
869.jpg,18663,17591
870.jpg,20653,21957
871.jpg,19165,17915
872.jpg,19104,18437
873.jpg,18002,16694
874.jpg,17480,15041
875.jpg,19968,20657
876.jpg,18513,17198
877.jpg,15014,13022
878.jpg,15194,14234
879.jpg,19238,17405
880.jpg,20079,20026
881.jpg,19411,18175
882.jpg,15565,13397
883.jpg,19252,17927
884.jpg,15468,14292
885.jpg,15254,13391
886.jpg,11135,8235
887.jpg,17783,16312
888.jpg,20010,20034
889.jpg,13489,11481
890.jpg,17527,14621
891.jpg,18255,17594
892.jpg,17176,15361
893.jpg,18045,16980
894.jpg,16356,14753
895.jpg,17816,16063
896.jpg,19522,18395
897.jpg,17140,14153
898.jpg,14584,13879
899.jpg,14093,10122
900.jpg,15139,13834
901.jpg,16721,14277
902.jpg,15340,14261
903.jpg,19334,19480
904.jpg,20222,19158
905.jpg,18202,17554
906.jpg,18991,18214
907.jpg,14803,11543
908.jpg,18929,19135
909.jpg,16241,13531
910.jpg,15903,13642
911.jpg,17382,16148
912.jpg,18502,18334
913.jpg,15273,13036
914.jpg,13033,9856
915.jpg,19245,19640
916.jpg,14534,12017
917.jpg,18858,18874
918.jpg,20069,18583
919.jpg,15635,13114
920.jpg,19751,17722
921.jpg,16704,15471
922.jpg,19084,17833
923.jpg,20415,20757
924.jpg,19014,16527
925.jpg,18365,16500
926.jpg,15368,12724
927.jpg,18897,17994
928.jpg,18803,17083
929.jpg,18364,17249
930.jpg,18519,16846
931.jpg,19049,18309
932.jpg,17954,16940
933.jpg,18000,16476
934.jpg,16832,15146
935.jpg,18526,16600
936.jpg,20048,20194
937.jpg,14806,11089
938.jpg,20016,20747
939.jpg,18572,17732
940.jpg,17328,15519
941.jpg,19050,18082
942.jpg,14172,11069
943.jpg,16353,13549
944.jpg,20581,21507
945.jpg,17101,15514
946.jpg,18230,16181
947.jpg,17139,15021
948.jpg,13271,10166
949.jpg,16447,15267
950.jpg,18006,17347
951.jpg,18560,16763
952.jpg,19549,19552
953.jpg,18628,18909
954.jpg,19703,19604
955.jpg,17197,16065
956.jpg,17353,16820
957.jpg,14478,12185
958.jpg,16969,14159
959.jpg,15159,13807
960.jpg,15647,12683
961.jpg,20255,19421
962.jpg,16543,15977
963.jpg,18203,16010
964.jpg,16435,14931
965.jpg,10863,8628
966.jpg,19281,18986
967.jpg,16466,15212
968.jpg,19371,19777
969.jpg,20133,20250
970.jpg,19172,18785
971.jpg,12845,9672
972.jpg,17891,16153
973.jpg,14152,11888
974.jpg,20685,19437
975.jpg,16998,15683
976.jpg,16602,15191
977.jpg,20733,21819
978.jpg,13647,10313
979.jpg,18324,17144
980.jpg,13249,6652
981.jpg,15524,13718
982.jpg,20006,20141
983.jpg,14235,13007
984.jpg,19487,18400
985.jpg,17757,16018
986.jpg,15338,13293
987.jpg,15696,13216
988.jpg,19858,20388
989.jpg,18069,16558
990.jpg,18437,16462
991.jpg,15875,13752
992.jpg,19020,18404
993.jpg,20229,20450
994.jpg,19745,19898
995.jpg,16919,15114
996.jpg,14988,13417
997.jpg,14457,14313
998.jpg,16965,14711
999.jpg,18827,18015
1000.jpg,14722,12525
1001.jpg,15087,13380
1002.jpg,19419,18336
1003.jpg,16831,15890
1004.jpg,17382,16404
1005.jpg,14149,12748
1006.jpg,17262,15573
1007.jpg,19201,17196
1008.jpg,17710,16521
1009.jpg,9655,5233
1010.jpg,14341,10652
1011.jpg,18781,17057
1012.jpg,16175,14628
1013.jpg,17117,15720
1014.jpg,17936,15920
1015.jpg,17443,16963
1016.jpg,13806,10647
1017.jpg,9558,7255
1018.jpg,19052,19178
1019.jpg,17346,15721
1020.jpg,16935,15486
1021.jpg,16651,13994
1022.jpg,14147,11616
1023.jpg,18272,16834
1024.jpg,20225,20601
1025.jpg,17052,15978
1026.jpg,17060,15568
1027.jpg,19014,17305
1028.jpg,13098,10967
1029.jpg,16678,15641
1030.jpg,12775,10449
1031.jpg,20088,18859
1032.jpg,13918,10786
1033.jpg,16470,13944
1034.jpg,18039,17294
1035.jpg,18549,17702
1036.jpg,19030,18928
1037.jpg,14866,12002
1038.jpg,16573,14883
1039.jpg,18634,17867
1040.jpg,20083,20766
1041.jpg,19337,18490
1042.jpg,16151,12795
1043.jpg,16888,14825
1044.jpg,14700,12935
1045.jpg,17346,14894
1046.jpg,19218,18824
1047.jpg,15569,14184
1048.jpg,16509,14312
1049.jpg,16737,15285
1050.jpg,17989,17353
1051.jpg,19789,20799
1052.jpg,17685,16939
1053.jpg,12858,11272
1054.jpg,17556,15034
1055.jpg,20227,19678
1056.jpg,12463,10631
1057.jpg,15035,12970
1058.jpg,16886,15570
1059.jpg,19757,19848
1060.jpg,17544,16281
1061.jpg,19307,19442
1062.jpg,16416,13881
1063.jpg,17244,15837
1064.jpg,15611,13711
1065.jpg,18334,17114
1066.jpg,16385,14794
1067.jpg,15198,11964
1068.jpg,16915,15033
1069.jpg,19641,18167
1070.jpg,17703,16695
1071.jpg,18508,17374
1072.jpg,11899,9093
1073.jpg,17075,16115
1074.jpg,17071,14590
1075.jpg,19753,19508
1076.jpg,16728,14117
1077.jpg,16973,16011
1078.jpg,18571,18333
1079.jpg,17089,15686
1080.jpg,19922,19447
1081.jpg,19182,18754
1082.jpg,15424,13758
1083.jpg,12017,9132
1084.jpg,15607,13751
1085.jpg,20665,21990
1086.jpg,14869,11425
1087.jpg,17008,15551
1088.jpg,18784,18437
1089.jpg,16799,14924
1090.jpg,19104,17979
1091.jpg,20435,20433
1092.jpg,17229,15212
1093.jpg,15717,14485
1094.jpg,17308,15113
1095.jpg,15115,12923
1096.jpg,13177,9312
1097.jpg,17555,15968
1098.jpg,20057,21079
1099.jpg,18345,17641
1100.jpg,14245,11487
1101.jpg,13496,10503
1102.jpg,19295,16726
1103.jpg,18494,17933
1104.jpg,15260,11922
1105.jpg,19947,20123
1106.jpg,17739,16126
1107.jpg,14643,12322
1108.jpg,18976,17017
1109.jpg,14214,13026
1110.jpg,17881,15892
1111.jpg,16598,14749
1112.jpg,16339,15019
1113.jpg,18567,18063
1114.jpg,19007,17446
1115.jpg,15719,13104
1116.jpg,18288,16761
1117.jpg,18822,18353
1118.jpg,18897,18719
1119.jpg,17375,16424
1120.jpg,17063,15196
1121.jpg,15129,13957
1122.jpg,19227,19465
1123.jpg,16770,14886
1124.jpg,19099,18934
1125.jpg,16286,15042
1126.jpg,16243,14300
1127.jpg,12396,9350
1128.jpg,17283,15282
1129.jpg,19073,17909
1130.jpg,19549,17866
1131.jpg,15200,12466
1132.jpg,13968,12078
1133.jpg,16577,14401
1134.jpg,16841,15030
1135.jpg,13240,9525
1136.jpg,19452,18345
1137.jpg,16721,13913
1138.jpg,18517,17231
1139.jpg,14191,10356
1140.jpg,14979,11275
1141.jpg,15443,12988
1142.jpg,19318,18609
1143.jpg,12126,8564
1144.jpg,16020,14088
