Name,Size Using Noval Approach,Size Using JPEG-LS
925.jpg,18360,16500
926.jpg,15363,12724
927.jpg,18892,17994
928.jpg,18798,17083
929.jpg,18359,17249
930.jpg,18514,16846
931.jpg,19044,18309
932.jpg,17949,16940
933.jpg,17995,16476
934.jpg,16827,15146
935.jpg,18521,16600
936.jpg,20043,20194
937.jpg,14801,11089
938.jpg,20011,20747
939.jpg,18567,17732
940.jpg,17323,15519
941.jpg,19045,18082
942.jpg,14167,11069
943.jpg,16348,13549
944.jpg,20576,21507
945.jpg,17096,15514
946.jpg,18225,16181
947.jpg,17134,15021
948.jpg,13266,10166
949.jpg,16442,15267
950.jpg,18001,17347
951.jpg,18555,16763
952.jpg,19544,19552
953.jpg,18623,18909
954.jpg,19698,19604
955.jpg,17192,16065
956.jpg,17348,16820
957.jpg,14473,12185
958.jpg,16964,14159
959.jpg,15154,13807
960.jpg,15642,12683
961.jpg,20250,19421
962.jpg,16538,15977
963.jpg,18198,16010
964.jpg,16430,14931
965.jpg,10858,8628
966.jpg,19276,18986
967.jpg,16461,15212
968.jpg,19366,19777
969.jpg,20128,20250
970.jpg,19167,18785
971.jpg,12840,9672
972.jpg,17886,16153
973.jpg,14147,11888
974.jpg,20680,19437
975.jpg,16993,15683
976.jpg,16597,15191
977.jpg,20728,21819
978.jpg,13642,10313
979.jpg,18319,17144
980.jpg,13244,6652
981.jpg,15519,13718
982.jpg,20001,20141
983.jpg,14230,13007
984.jpg,19482,18400
985.jpg,17752,16018
986.jpg,15333,13293
987.jpg,15691,13216
988.jpg,19853,20388
989.jpg,18064,16558
990.jpg,18432,16462
991.jpg,15870,13752
992.jpg,19015,18404
993.jpg,20224,20450
994.jpg,19740,19898
995.jpg,16914,15114
996.jpg,14983,13417
997.jpg,14452,14313
998.jpg,16960,14711
999.jpg,18822,18015
1000.jpg,14717,12525
1001.jpg,15082,13380
1002.jpg,19414,18336
1003.jpg,16826,15890
1004.jpg,17377,16404
1005.jpg,14144,12748
1006.jpg,17257,15573
1007.jpg,19196,17196
1008.jpg,17705,16521
1009.jpg,9650,5233
1010.jpg,14336,10652
1011.jpg,18776,17057
1012.jpg,16170,14628
1013.jpg,17112,15720
1014.jpg,17931,15920
1015.jpg,17438,16963
1016.jpg,13801,10647
1017.jpg,9553,7255
1018.jpg,19047,19178
1019.jpg,17341,15721
1020.jpg,16930,15486
1021.jpg,16646,13994
1022.jpg,14142,11616
1023.jpg,18267,16834
1024.jpg,20220,20601
1025.jpg,17047,15978
1026.jpg,17055,15568
1027.jpg,19009,17305
1028.jpg,13093,10967
1029.jpg,16673,15641
1030.jpg,12770,10449
1031.jpg,20083,18859
1032.jpg,13913,10786
1033.jpg,16465,13944
1034.jpg,18034,17294
1035.jpg,18544,17702
1036.jpg,19025,18928
1037.jpg,14861,12002
1038.jpg,16568,14883
1039.jpg,18629,17867
1040.jpg,20078,20766
1041.jpg,19332,18490
1042.jpg,16146,12795
1043.jpg,16883,14825
1044.jpg,14695,12935
1045.jpg,17341,14894
1046.jpg,19213,18824
1047.jpg,15564,14184
1048.jpg,16504,14312
1049.jpg,16732,15285
1050.jpg,17984,17353
1051.jpg,19784,20799
1052.jpg,17680,16939
1053.jpg,12853,11272
1054.jpg,17551,15034
1055.jpg,20222,19678
1056.jpg,12458,10631
1057.jpg,15030,12970
1058.jpg,16881,15570
1059.jpg,19752,19848
1060.jpg,17539,16281
1061.jpg,19302,19442
1062.jpg,16411,13881
1063.jpg,17239,15837
1064.jpg,15606,13711
1065.jpg,18329,17114
1066.jpg,16380,14794
1067.jpg,15193,11964
1068.jpg,16910,15033
1069.jpg,19636,18167
1070.jpg,17698,16695
1071.jpg,18503,17374
1072.jpg,11894,9093
1073.jpg,17070,16115
1074.jpg,17066,14590
1075.jpg,19748,19508
1076.jpg,16723,14117
1077.jpg,16968,16011
1078.jpg,18566,18333
1079.jpg,17084,15686
